WELL NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3690.2136,0.095187,0.0,0.0,0.0,0.19903099999999999,0.8,2.66,0.0215524,0.0,0.4783,113.2875,0.7158359999999999,CLST.SLTY-X-X
15/9-19 A,3690.366,0.099415,0.0,0.0,0.0,0.23855300000000002,0.8,2.66,0.0215519,0.0,0.4167,113.2911,0.716591,OTHER
15/9-19 A,3690.5184,0.092571,0.0,0.0,0.0,0.185158,0.8,2.66,0.0215513,0.0,0.5,113.2948,0.717346,OTHER
15/9-19 A,3690.6708,0.09266,0.0,0.0,0.0,0.18548199999999998,0.8,2.66,0.0215507,0.0,0.4996,113.2984,0.718101,OTHER
15/9-19 A,3690.8232,0.090088,0.0,0.0,0.0,0.163528,0.8,2.66,0.0215501,0.0,0.5509,113.302,0.718856,OTHER
15/9-19 A,3690.9756,0.09404900000000001,0.0,0.0,0.0,0.184326,0.8,2.66,0.0215495,0.0,0.5102,113.3056,0.719611,OTHER
15/9-19 A,3691.1279999999997,0.093096,0.0,0.0,0.0,0.171021,0.8,2.66,0.021549000000000002,0.0,0.5444,113.3092,0.720366,OTHER
15/9-19 A,3691.2804,0.096301,0.0,0.0,0.0,0.19131700000000001,0.8,2.66,0.021548400000000002,0.0,0.5034,113.3128,0.721121,OTHER
15/9-19 A,3691.4328,0.09711900000000001,0.0,0.0,0.0,0.19889500000000002,0.8,2.66,0.0215478,0.0,0.4883,113.3165,0.721877,OTHER
15/9-19 A,3691.5852,0.09535199999999999,0.0,0.0,0.0,0.18767899999999998,0.8,2.66,0.021547200000000002,0.0,0.5081,113.3201,0.7226319999999999,OTHER
